Comment,Designator,Footprint,LCSC Part #,Notes
active 5V,BZ1,Buzzer_12x9.5RM7.6,C96093,TMB12A05 active magnetic buzzer 5V 12mm THT P7.6 [THT - needs Standard assembly; confirm JLC can place it]
22uF/25V,"C1,C3",C_1206_3216Metric,C12891,CL31A226KAHNNNE 22uF 25V X5R 1206
100nF,"C2,C4,C6,C8,C10",C_0805_2012Metric,C49678,CC0805KRX7R9BB104 100nF 50V X7R 0805
1uF,C5,C_0805_2012Metric,C28323,CL21B105KBFNNNE 1uF 50V X7R 0805
10uF,"C7,C12",C_0805_2012Metric,C15850,CL21A106KAYNNNE 10uF 25V X5R 0805
10nF,C9,C_0805_2012Metric,C1710,CL21B103KBANNNC 10nF 50V X7R 0805
SS34,"D1,D2",D_SMA,C8678,SS34 SMA
SS14,D3,D_SMA,C2480,SS14 SMA
1N4148W,D4,D_SOD-123,C81598,1N4148W SOD-123
USB-C,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,HRO TYPE-C-31-M-12 USB-C 16P
5V_IN,J2,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",C8465,WJ500V-5.08-2P 5.08mm screw terminal 1x02 [THT - needs Standard assembly; confirm JLC can place it]
TC_K,J3,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",C8465,WJ500V-5.08-2P 5.08mm screw terminal 1x02 [THT - needs Standard assembly; confirm JLC can place it]
SSR,J4,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",C8465,WJ500V-5.08-2P 5.08mm screw terminal 1x02 [THT - needs Standard assembly; confirm JLC can place it]
DISPLAY,J5,Molex_KK-254_AE-6410-08A_1x08_P2.54mm_Vertical,C240822,Molex 22-27-2081 KK-254 friction-lock wafer 1x08 [THT - needs Standard assembly; confirm JLC can place it]
NAV_SW,J6,Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical,C239381,A2547WV-6P KK-254 friction-lock wafer 1x06 [THT - needs Standard assembly; confirm JLC can place it]
AUX,J7,Molex_KK-254_AE-6410-08A_1x08_P2.54mm_Vertical,C240822,Molex 22-27-2081 KK-254 friction-lock wafer 1x08 [THT - needs Standard assembly; confirm JLC can place it]
WS2812B,LED1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C2761795,WS2812B-B/T 5050 RGB
green,LED2,LED_0805_2012Metric,C2297,KT-0805G green LED 0805
amber,LED3,LED_0805_2012Metric,C2296,KT-0805Y yellow LED 0805
AO3400A,"Q1,Q2",SOT-23,C20917,AO3400A SOT-23
10k,"R1,R2,R7,R8",R_0805_2012Metric,C17414,10k 0805 1%
680R,R10,R_0805_2012Metric,C17798,680R 0805 1%
330R,R3,R_0805_2012Metric,C17630,330R 0805 1%
5.1k,"R4,R5",R_0805_2012Metric,C27834,5.1k 0805 1%
100R,"R6,R11",R_0805_2012Metric,C17408,100R 0805 1%
1k,R9,R_0805_2012Metric,C17513,1k 0805 1%
RESET,SW1,SW_PUSH_6mm,C393938,TS665CJ 6x6mm THT tactile switch [THT - needs Standard assembly; confirm JLC can place it]
BOOT,SW2,SW_PUSH_6mm,C393938,TS665CJ 6x6mm THT tactile switch [THT - needs Standard assembly; confirm JLC can place it]
ESP32-S3-WROOM-1-N16R8,U1,ESP32-S3-WROOM-1,C2913202,"ESP32-S3-WROOM-1-N16R8 (16MB flash, 8MB octal PSRAM)"
AMS1117-3.3,U2,SOT-223-3_TabPin2,C6186,AMS1117-3.3 SOT-223
MAX31855KASA+,U3,SOIC-8_3.9x4.9mm_P1.27mm,C52028,MAX31855KASA+T SOIC-8
USBLC6-2SC6,U4,SOT-23-6,C7519,USBLC6-2SC6 SOT-23-6
